id,user_id,created_at,updated_at,start,end,timezone_offset,score_state,score.strain,score.kilojoule,score.average_heart_rate,score.max_heart_rate
333858202,96842,2023-02-18T13:15:42.948Z,2023-02-18T13:15:42.948Z,2023-02-18T05:57:22.024Z,,-06:00,SCORED,4.0424356,3941.3145,57,115
333471001,96842,2023-02-17T13:03:39.017Z,2023-02-18T13:15:48.101Z,2023-02-17T06:30:58.674Z,2023-02-18T05:57:22.024Z,-06:00,SCORED,9.110772,8466.136,64,162
333056919,96842,2023-02-16T12:54:08.077Z,2023-02-17T13:03:44.203Z,2023-02-16T05:58:44.378Z,2023-02-17T06:30:58.674Z,-06:00,SCORED,9.497198,8995.326,67,158
332577787,96842,2023-02-15T11:42:41.911Z,2023-02-16T12:54:13.240Z,2023-02-15T04:48:00.620Z,2023-02-16T05:58:44.378Z,-05:00,SCORED,6.7848873,8399.266,64,140
332274367,96842,2023-02-14T13:56:09.350Z,2023-02-15T11:42:47.052Z,2023-02-14T05:31:13.590Z,2023-02-15T04:48:00.620Z,-05:00,SCORED,5.3726134,7457.4985,63,137
331827644,96842,2023-02-13T13:25:43.169Z,2023-02-14T13:56:14.534Z,2023-02-13T05:59:04.352Z,2023-02-14T05:31:13.590Z,-06:00,SCORED,7.59108,8042.4995,68,156
331292208,96842,2023-02-12T11:35:13.971Z,2023-02-13T13:25:48.356Z,2023-02-12T03:42:30.434Z,2023-02-13T05:59:04.352Z,-05:00,SCORED,14.197668,10728.786,69,188
330938289,96842,2023-02-11T12:35:43.395Z,2023-02-12T11:35:19.130Z,2023-02-11T04:58:24.373Z,2023-02-12T03:42:30.434Z,-05:00,SCORED,5.53879,7290.966,63,125
330665388,96842,2023-02-10T15:16:37.142Z,2023-02-11T12:35:48.587Z,2023-02-10T08:10:37.463Z,2023-02-11T04:58:24.373Z,-05:00,SCORED,8.496504,7368.448,70,142
330239726,96842,2023-02-09T14:56:43.986Z,2023-02-10T15:16:42.295Z,2023-02-09T07:07:35.192Z,2023-02-10T08:10:37.463Z,-06:00,SCORED,15.08062,11186.641,72,180
329795118,96842,2023-02-08T14:05:44.850Z,2023-02-09T14:56:49.115Z,2023-02-08T06:51:54.707Z,2023-02-09T07:07:35.192Z,-06:00,SCORED,10.013077,9125.547,65,146
329378305,96842,2023-02-07T14:06:06.472Z,2023-02-08T14:05:50.035Z,2023-02-07T06:33:36.405Z,2023-02-08T06:51:54.707Z,-06:00,SCORED,6.426748,8046.1157,62,162
328979531,96842,2023-02-06T14:56:24.723Z,2023-02-07T14:06:11.603Z,2023-02-06T06:05:12.234Z,2023-02-07T06:33:36.405Z,-06:00,SCORED,10.206978,8789.861,65,176
328516249,96842,2023-02-05T14:36:14.306Z,2023-02-06T14:56:29.889Z,2023-02-05T08:28:23.755Z,2023-02-06T06:05:12.234Z,-06:00,SCORED,7.2915955,7377.8096,66,132
328242268,96842,2023-02-05T01:32:58.648Z,2023-02-05T14:36:19.440Z,2023-02-04T06:24:56.159Z,2023-02-05T08:28:23.755Z,-06:00,SCORED,14.873739,8432.029,75,184
327776771,96842,2023-02-03T16:08:01.338Z,2023-02-05T01:33:03.947Z,2023-02-03T06:24:56.159Z,2023-02-04T06:24:56.159Z,-06:00,SCORED,15.415692,10844.959,67,181
327324827,96842,2023-02-02T14:26:53.406Z,2023-02-03T16:08:06.469Z,2023-02-02T06:36:25.636Z,2023-02-03T06:24:56.159Z,-06:00,SCORED,5.335613,7521.393,63,124
326919636,96842,2023-02-01T14:53:41.126Z,2023-02-02T14:26:58.532Z,2023-02-01T07:04:44.524Z,2023-02-02T06:36:25.636Z,-06:00,SCORED,11.103581,8798.985,63,187
326491439,96842,2023-01-31T14:25:58.302Z,2023-02-01T14:53:46.289Z,2023-01-31T07:05:10.963Z,2023-02-01T07:04:44.524Z,-06:00,SCORED,11.625976,9166.437,64,180
326073570,96842,2023-01-30T14:36:13.719Z,2023-01-31T14:26:03.438Z,2023-01-30T06:44:28.243Z,2023-01-31T07:05:10.963Z,-06:00,SCORED,10.078624,8620.197,63,185
325688319,96842,2023-01-29T16:50:06.114Z,2023-01-30T14:36:18.858Z,2023-01-29T08:45:58.897Z,2023-01-30T06:44:28.243Z,-06:00,SCORED,4.2174387,6755.2456,61,119
325236594,96842,2023-01-28T14:46:01.173Z,2023-01-29T16:50:11.243Z,2023-01-28T08:06:44.227Z,2023-01-29T08:45:58.897Z,-06:00,SCORED,16.611443,11622.723,72,183
324830651,96842,2023-01-27T14:05:55.913Z,2023-01-28T14:46:06.334Z,2023-01-27T05:52:06.761Z,2023-01-28T08:06:44.227Z,-06:00,SCORED,6.537245,8636.021,61,143
324427855,96842,2023-01-26T14:25:52.559Z,2023-01-27T14:06:01.035Z,2023-01-26T05:58:48.304Z,2023-01-27T05:52:06.761Z,-06:00,SCORED,4.717874,7451.921,61,132
324005513,96842,2023-01-25T14:25:57.273Z,2023-01-26T14:25:57.682Z,2023-01-25T06:52:35.713Z,2023-01-26T05:58:48.304Z,-06:00,SCORED,13.204606,9732.132,70,179
323590088,96842,2023-01-24T14:25:49.233Z,2023-01-25T14:26:02.447Z,2023-01-24T06:29:00.198Z,2023-01-25T06:52:35.713Z,-06:00,SCORED,5.5936036,7840.524,63,130
323021688,96842,2023-01-23T11:16:12.166Z,2023-01-24T14:25:54.368Z,2023-01-23T04:44:39.602Z,2023-01-24T06:29:00.198Z,-06:00,SCORED,13.40549,10569.211,70,180
322717887,96842,2023-01-22T14:29:32.884Z,2023-01-23T11:16:17.346Z,2023-01-22T07:21:42.799Z,2023-01-23T04:44:39.602Z,-06:00,SCORED,14.643439,9452.416,65,193
322341882,96842,2023-01-21T14:47:05.354Z,2023-01-22T14:29:38.008Z,2023-01-21T05:21:59.237Z,2023-01-22T07:21:42.799Z,-06:00,SCORED,12.318776,9817.355,66,190
321973446,96842,2023-01-20T15:09:22.153Z,2023-01-21T14:47:10.521Z,2023-01-20T05:29:08.421Z,2023-01-21T05:21:59.237Z,-06:00,SCORED,14.219041,10317.25,66,188
321553032,96842,2023-01-19T14:37:23.988Z,2023-01-20T15:25:44.739Z,2023-01-19T06:27:15.321Z,2023-01-20T05:29:08.421Z,-06:00,SCORED,8.149675,8202.841,66,147
321134153,96842,2023-01-18T14:17:56.544Z,2023-01-19T14:37:29.229Z,2023-01-18T06:42:35.500Z,2023-01-19T06:27:15.321Z,-06:00,SCORED,13.870555,9862.156,72,186
320717355,96842,2023-01-17T14:04:56.294Z,2023-01-18T14:18:01.698Z,2023-01-17T06:13:40.559Z,2023-01-18T06:42:35.500Z,-06:00,SCORED,13.27569,9615.342,68,176
320278413,96842,2023-01-16T14:00:40.592Z,2023-01-17T14:05:01.439Z,2023-01-16T07:09:51.170Z,2023-01-17T06:13:40.559Z,-06:00,SCORED,15.785651,11403.596,75,185
319871628,96842,2023-01-15T14:28:13.409Z,2023-01-16T14:00:45.771Z,2023-01-15T07:14:08.140Z,2023-01-16T07:09:51.170Z,-06:00,SCORED,8.922768,8499.356,63,176
319534871,96842,2023-01-14T16:06:32.659Z,2023-01-15T14:28:18.630Z,2023-01-14T06:56:47.395Z,2023-01-15T07:14:08.140Z,-06:00,SCORED,5.772573,7859.0312,60,139
319121433,96842,2023-01-13T14:46:06.859Z,2023-01-14T16:06:37.807Z,2023-01-13T06:43:44.570Z,2023-01-14T06:56:47.395Z,-06:00,SCORED,6.989668,8223.84,63,147
318619852,96842,2023-01-12T12:24:28.387Z,2023-01-13T14:46:12.036Z,2023-01-12T05:58:59.871Z,2023-01-13T06:43:44.570Z,-06:00,SCORED,12.606257,9917.342,64,175
318315139,96842,2023-01-11T14:56:29.181Z,2023-01-12T12:24:33.587Z,2023-01-11T05:42:07.967Z,2023-01-12T05:58:59.871Z,-05:00,SCORED,8.960308,8686.673,64,149
317834806,96842,2023-01-10T12:55:59.941Z,2023-01-11T14:56:34.443Z,2023-01-10T06:12:51.238Z,2023-01-11T05:42:07.967Z,-05:00,SCORED,6.2634234,7696.0156,69,137
