id,user_id,created_at,updated_at,start,end,timezone_offset,nap,score_state,score.stage_summary.total_in_bed_time_milli,score.stage_summary.total_awake_time_milli,score.stage_summary.total_no_data_time_milli,score.stage_summary.total_light_sleep_time_milli,score.stage_summary.total_slow_wave_sleep_time_milli,score.stage_summary.total_rem_sleep_time_milli,score.stage_summary.sleep_cycle_count,score.stage_summary.disturbance_count,score.sleep_needed.baseline_milli,score.sleep_needed.need_from_sleep_debt_milli,score.sleep_needed.need_from_recent_strain_milli,score.sleep_needed.need_from_recent_nap_milli,score.respiratory_rate,score.sleep_performance_percentage,score.sleep_consistency_percentage,score.sleep_efficiency_percentage,score
609567207,96842,2023-02-18T13:15:42.948Z,2023-02-18T13:15:47.661Z,2023-02-18T05:57:22.024Z,2023-02-18T12:54:05.915Z,-06:00,False,SCORED,25031769.0,717307.0,0.0,12445512.0,4418374.0,7450576.0,2.0,5.0,27707608.0,4710293.0,581396.0,0.0,16.845703,74.0,85.0,97.80676,
608911643,96842,2023-02-17T13:03:39.017Z,2023-02-17T13:03:43.697Z,2023-02-17T06:30:58.674Z,2023-02-17T12:21:51.563Z,-06:00,False,SCORED,21080767.0,578210.0,0.0,10511675.0,3783042.0,6207840.0,4.0,5.0,27707860.0,2909325.0,642143.0,0.0,17.13379,66.0,78.0,97.257164,
608220357,96842,2023-02-16T12:54:08.077Z,2023-02-16T12:54:13.784Z,2023-02-16T05:58:44.378Z,2023-02-16T12:35:16.964Z,-06:00,False,SCORED,23820464.0,690020.0,0.0,9298767.0,6237698.0,7593979.0,4.0,4.0,27708112.0,1246865.0,313598.0,0.0,15.878906,79.0,83.0,97.80981,
607425175,96842,2023-02-15T11:42:41.911Z,2023-02-15T13:46:14.891Z,2023-02-15T04:48:00.620Z,2023-02-15T13:35:19.407Z,-05:00,False,SCORED,31637826.0,3076389.0,0.0,13340705.0,6497594.0,8723138.0,5.0,11.0,27708364.0,2671877.0,213100.0,0.0,17.373047,93.0,79.0,90.85319,
606863145,96842,2023-02-14T13:56:09.350Z,2023-02-14T13:56:16.401Z,2023-02-14T05:31:13.590Z,2023-02-14T13:41:58.696Z,-05:00,False,SCORED,29328787.0,1549008.0,0.0,12619755.0,3927437.0,11232587.0,4.0,8.0,27708615.0,4433378.0,389657.0,0.0,16.875,85.0,71.0,96.90695,
606101575,96842,2023-02-13T13:25:43.169Z,2023-02-13T13:25:49.820Z,2023-02-13T05:59:04.352Z,2023-02-13T12:59:38.660Z,-06:00,False,SCORED,25031472.0,2882930.0,0.0,12127799.0,2599045.0,7421698.0,3.0,5.0,27708867.0,2850054.0,1896483.0,0.0,17.138672,68.0,61.0,92.19701,
605294284,96842,2023-02-12T11:35:13.971Z,2023-02-12T11:35:20.608Z,2023-02-12T03:42:30.434Z,2023-02-12T11:20:35.552Z,-05:00,False,SCORED,27484156.0,1349315.0,0.0,14266873.0,5255848.0,6612120.0,6.0,4.0,27709119.0,3186548.0,223085.0,0.0,17.285156,84.0,56.0,95.89218,
604664511,96842,2023-02-11T12:35:43.395Z,2023-02-11T13:36:14.233Z,2023-02-11T04:58:24.373Z,2023-02-11T13:20:12.756Z,-05:00,False,SCORED,30107421.0,5128828.0,0.0,15132125.0,3754162.0,6092306.0,5.0,9.0,27709372.0,4294952.0,495386.0,0.0,16.523438,77.0,65.0,83.4418,
604161925,96842,2023-02-10T15:16:37.142Z,2023-02-10T15:16:43.941Z,2023-02-10T08:10:37.463Z,2023-02-10T15:07:50.193Z,-05:00,False,SCORED,25031769.0,2132344.0,0.0,11810173.0,4562778.0,6526474.0,5.0,6.0,27709624.0,3186606.0,2241370.0,0.0,16.464844,69.0,76.0,91.901436,
603449347,96842,2023-02-09T14:56:43.986Z,2023-02-09T14:56:50.649Z,2023-02-09T07:07:35.192Z,2023-02-09T14:25:56.711Z,-06:00,False,SCORED,26271719.0,2332748.0,0.0,11782238.0,3609788.0,8546945.0,4.0,5.0,27709876.0,2672023.0,731926.0,0.0,16.699219,77.0,86.0,91.41834,
